Regional;Bairro;PopulaçãoTotal;PopHomens;PopMulheres;MédiaDeMoradoresPorDomicílio;RazãoDeDependência
REGIONAL 6;Aerolândia;11.360;5.365;5.995;3,45;39,94
REGIONAL 4;Aeroporto;8.618;4.160;4.458;3,61;45,62
REGIONAL 2;Aldeota;42.361;17.980;24.381;3,08;34,11
REGIONAL 6;Alto da Balança;12.814;5.930;6.884;3,39;43,32
REGIONAL 1;Álvaro Weyne;23.690;10.834;12.856;3,52;41,70
REGIONAL 3;Amadeo Furtado;11.703;5.211;6.492;3,46;40,21
REGIONAL 6;Ancuri;20.070;9.823;10.247;3,42;44,98
REGIONAL 3;Antônio Bezerra;25.846;11.902;13.944;3,44;39,89
REGIONAL 1;Arraial Moura Brasil;3.765;1.796;1.969;3,55;48,23
REGIONAL 3;Autran Nunes;21.208;10.281;10.927;3,78;46,93
REGIONAL 1;Barra do Ceará;72.423;34.658;37.765;3,56;42,98
REGIONAL 6;Barroso;29.847;14.359;15.488;3,58;47,38
REGIONAL 3;Bela Vista;16.754;7.767;8.987;3,4;40,19
REGIONAL 4;Benfica;12.954;5.532;7.422;3,05;30,49
REGIONAL 6;Boa Vista;12.247;5.869;6.378;3,42;43,51
REGIONAL 4;Bom Futuro;6.405;2.747;3.658;3,25;38,01
REGIONAL 5;Bom Jardim;37.758;18.180;19.578;3,6;46,29
REGIONAL 3;Bonsucesso;41.198;19.336;21.862;3,5;42,91
REGIONAL 2;Cais do Porto;22.382;10.867;11.515;3,54;45,54
REGIONAL 6;Cajazeiras;14.478;6.821;7.657;3,27;39,84
REGIONAL 6;Cambeba;7.625;3.596;4.029;3,54;33,96
REGIONAL 5;Canindezinho;41.202;20.127;21.075;3,57;47,01
REGIONAL 1;Carlito Pamplona;29.076;13.596;15.480;3,49;41,81
REGIONAL 2;Centro;28.538;12.973;15.565;2,89;35,89
REGIONAL 2;Cidade 2000;8.272;3.576;4.696;3,15;36,86
REGIONAL 6;Cidade dos Funcionários;18.256;8.256;10.000;3,4;33,63
REGIONAL 6;Coaçu;7.188;3.441;3.747;3,53;40,69
REGIONAL 2;Cocó;20.492;9.135;11.357;3,18;32,80
REGIONAL 5;Conjunto Ceará I;19.221;8.850;10.371;3,51;36,18
REGIONAL 5;Conjunto Ceará II;23.673;10.998;12.675;3,51;35,66
REGIONAL 5;Conjunto Esperança;16.405;7.714;8.691;3,45;38,47
REGIONAL 6;Conjunto Palmeiras;36.599;17.807;18.792;4,02;45,29
